transform,n_samples,accuracy,accuracy_drop_vs_clean,precision,recall,f1
clean,20000,0.9808,0.0000,0.9810,0.9805,0.9807
jpeg_q90,20000,0.9813,-0.0006,0.9826,0.9801,0.9813
jpeg_q70,20000,0.9818,-0.0010,0.9850,0.9784,0.9817
jpeg_q50,20000,0.9816,-0.0008,0.9859,0.9771,0.9815
jpeg_q30,20000,0.9805,0.0002,0.9847,0.9762,0.9804
blur_sigma0.5,20000,0.9809,-0.0001,0.9812,0.9806,0.9809
blur_sigma1.0,20000,0.9806,0.0002,0.9780,0.9832,0.9806
blur_sigma2.0,20000,0.9791,0.0017,0.9802,0.9780,0.9791
resize_scale0.5,20000,0.9752,0.0055,0.9877,0.9625,0.9749
resize_scale0.25,20000,0.9744,0.0063,0.9866,0.9619,0.9741
noise_sigma0.02,20000,0.9808,-0.0000,0.9860,0.9755,0.9807
noise_sigma0.05,20000,0.9799,0.0008,0.9810,0.9789,0.9799
noise_sigma0.1,20000,0.9752,0.0056,0.9722,0.9784,0.9753
color_jitter_20pct,20000,0.9775,0.0032,0.9765,0.9786,0.9775
center_crop_80pct,20000,0.9692,0.0116,0.9780,0.9600,0.9689
